,Name ,Comment ,comments,Time ,text_token,text_string
294,CaptainBaller2K,POV: You’re scrolling Through The comments And All You see is: “It’s always a Good day when Rebound Uploads” 💀💀💀,pov: you’re scrolling through the comments and all you see is: “it’s always a good day when rebound uploads” 💀💀💀,2022-09-14T00:48:22Z,"['pov', 'scrolling', 'comments', 'see', 'always', 'good', 'day', 'rebound', 'uploads']",pov scrolling comments see always good day rebound uploads
295,CRAZYASSASSIN,The best part is when half of the ground went up😲,the best part is when half of the ground went up😲,2022-09-14T00:30:13Z,"['best', 'part', 'half', 'ground', 'went']",best part half ground went
296,BelugaXE,You know it’s a good day when rebound posts 🔥,you know it’s a good day when rebound posts 🔥,2022-09-14T00:26:58Z,"['know', 'good', 'day', 'rebound', 'posts']",know good day rebound posts
297,Yello Jello Shorts,2:54 I died at this part 😂😂🤣🤣,2:54 i died at this part 😂😂🤣🤣,2022-09-15T00:54:45Z,"['2', '54', 'died', 'part']",died part
298,Willy Playz,"Yeah I’ll never forget that time when the court began tilting towards a 45 degree angle, Warping time and space & stuff. Legendary game.","yeah i’ll never forget that time when the court began tilting towards a 45 degree angle, warping time and space & stuff. legendary game.",2022-09-14T23:20:47Z,"['yeah', 'never', 'forget', 'time', 'court', 'began', 'tilting', 'towards', '45', 'degree', 'angle', 'warping', 'time', 'space', 'stuff', 'legendary', 'game']",yeah never forget time court began tilting towards degree angle warping time space stuff legendary game
299,Peter McKinnon,"What do you think? Interesting processing on the face. Skin looks too smooth? Hands look like they have more texture? Hmm. What do you all think? Pretty impressive regardless, FOR A PHONE! Hope you liked it!","what do you think? interesting processing on the face. skin looks too smooth? hands look like they have more texture? hmm. what do you all think? pretty impressive regardless, for a phone! hope you liked it!",2022-09-14T12:51:50Z,"['think', 'interesting', 'processing', 'face', 'skin', 'looks', 'smooth', 'hands', 'look', 'like', 'texture', 'hmm', 'think', 'pretty', 'impressive', 'regardless', 'phone', 'hope', 'liked']",think interesting processing face skin looks smooth hands look like texture hmm think pretty impressive regardless phone hope liked
300,Mudja,Literally didn't know it was an iPhone until Peter pointed it out. Amazing what phones can do for creators who are just starting out.,literally didn't know it was an iphone until peter pointed it out. amazing what phones can do for creators who are just starting out.,2022-09-14T13:11:14Z,"['literally', 'know', 'iphone', 'peter', 'pointed', 'amazing', 'phones', 'creators', 'starting']",literally know iphone peter pointed amazing phones creators starting
301,Rodrigo Contreras,"Was able to spot the image comparison immediately. There's this weird extra sharpening like effect with most phones when taking photos, where the very edges of objects, whether it be text or an outline of a shape etc., tends to get like ""blown out"" if that makes sense. It's most apparent in highlight areas or like the edges of the colored watch numbers and hands.
This Prores phone shoot also has this weird edge effect processing going on. Color wise it looked great, but that slight softness at times, like on your face, along with the odd extra edge blurrying especially on your body shape, make it quite noticeable to me it's not very ""pro camera"".","was able to spot the image comparison immediately. there's this weird extra sharpening like effect with most phones when taking photos, where the very edges of objects, whether it be text or an outline of a shape etc., tends to get like ""blown out"" if that makes sense. it's most apparent in highlight areas or like the edges of the colored watch numbers and hands.
this prores phone shoot also has this weird edge effect processing going on. color wise it looked great, but that slight softness at times, like on your face, along with the odd extra edge blurrying especially on your body shape, make it quite noticeable to me it's not very ""pro camera"".",2022-09-14T17:15:05Z,"['able', 'spot', 'image', 'comparison', 'immediately', 'weird', 'extra', 'sharpening', 'like', 'effect', 'phones', 'taking', 'photos', 'edges', 'objects', 'whether', 'text', 'outline', 'shape', 'etc', 'tends', 'get', 'like', 'blown', 'makes', 'sense', 'apparent', 'highlight', 'areas', 'like', 'edges', 'colored', 'watch', 'numbers', 'hands', 'prores', 'phone', 'shoot', 'also', 'weird', 'edge', 'effect', 'processing', 'going', 'color', 'wise', 'looked', 'great', 'slight', 'softness', 'times', 'like', 'face', 'along', 'odd', 'extra', 'edge', 'blurrying', 'especially', 'body', 'shape', 'make', 'quite', 'noticeable', 'pro', 'camera']",able spot image comparison immediately weird extra sharpening like effect phones taking photos edges objects whether text outline shape etc tends get like blown makes sense apparent highlight areas like edges colored watch numbers hands prores phone shoot also weird edge effect processing going color wise looked great slight softness times like face along odd extra edge blurrying especially body shape make quite noticeable pro camera
302,Evan Edinger,I mean I do think it was quite obvious which photo was which from the sharpness and dynamic range but then again can't compete against the R5 for that!,i mean i do think it was quite obvious which photo was which from the sharpness and dynamic range but then again can't compete against the r5 for that!,2022-09-15T12:54:45Z,"['mean', 'think', 'quite', 'obvious', 'photo', 'sharpness', 'dynamic', 'range', 'compete', 'r5']",mean think quite obvious photo sharpness dynamic range compete
303,Sidney Diongzon,Really interesting about not using Action Mode. Dope video Peter!,really interesting about not using action mode. dope video peter!,2022-09-14T15:28:36Z,"['really', 'interesting', 'using', 'action', 'mode', 'dope', 'video', 'peter']",really interesting using action mode dope video peter
304,SnowThirsty,"8:25 though, looks like dynamic frame rate creeped in, I remember spending hours in the HandBrake app in order to make it constant. Also it was so on point when Pete was asking “Is 4k good?” :) Love your work Peter, as always ❤️","8:25 though, looks like dynamic frame rate creeped in, i remember spending hours in the handbrake app in order to make it constant. also it was so on point when pete was asking “is 4k good?” :) love your work peter, as always ❤️",2022-09-14T22:41:35Z,"['8', '25', 'though', 'looks', 'like', 'dynamic', 'frame', 'rate', 'creeped', 'remember', 'spending', 'hours', 'handbrake', 'app', 'order', 'make', 'constant', 'also', 'point', 'pete', 'asking', '4k', 'good', 'love', 'work', 'peter', 'always']",though looks like dynamic frame rate creeped remember spending hours handbrake app order make constant also point pete asking good love work peter always
305,Zdenka Darula,yes I can see a difference 100% and it is a night and day compared to your usual set up. Even the photo had less detail and way too bright details on the watch. However it certainly got a bit better especially the stabilization... that is impressive.,yes i can see a difference 100% and it is a night and day compared to your usual set up. even the photo had less detail and way too bright details on the watch. however it certainly got a bit better especially the stabilization... that is impressive.,2022-09-14T13:55:42Z,"['yes', 'see', 'difference', '100', 'night', 'day', 'compared', 'usual', 'set', 'even', 'photo', 'less', 'detail', 'way', 'bright', 'details', 'watch', 'however', 'certainly', 'got', 'bit', 'better', 'especially', 'stabilization', 'impressive']",yes see difference 100 night day compared usual set even photo less detail way bright details watch however certainly got bit better especially stabilization impressive
306,Eric Seastrand,"I still cannot get over the pastel skin tones of the iPhone. And the oversaturated colors/lack of gradation. Even after color grading, there’s a certain cheapness to it that I can’t unsee.
But holy crap, it’s amazing what a phone can do these days. It’s still a joy to use. “The best camera is the one you have right now”","i still cannot get over the pastel skin tones of the iphone. and the oversaturated colors/lack of gradation. even after color grading, there’s a certain cheapness to it that i can’t unsee.
but holy crap, it’s amazing what a phone can do these days. it’s still a joy to use. “the best camera is the one you have right now”",2022-09-14T22:41:47Z,"['still', 'cannot', 'get', 'pastel', 'skin', 'tones', 'iphone', 'oversaturated', 'colors', 'lack', 'gradation', 'even', 'color', 'grading', 'certain', 'cheapness', 'unsee', 'holy', 'crap', 'amazing', 'phone', 'days', 'still', 'joy', 'use', 'best', 'camera', 'one', 'right']",still cannot get pastel skin tones iphone oversaturated colors lack gradation even color grading certain cheapness unsee holy crap amazing phone days still joy use best camera one right
307,GLG reviews,"Thanks for nice shots, my iPhone 14 pro max will come in october, my review can wait lol","thanks for nice shots, my iphone 14 pro max will come in october, my review can wait lol",2022-09-14T16:19:00Z,"['thanks', 'nice', 'shots', 'iphone', '14', 'pro', 'max', 'come', 'october', 'review', 'wait', 'lol']",thanks nice shots iphone pro max come october review wait lol
308,Jeffrey Dirkin,"I love watching peter do set design for product shots.  It feels like watching a true master at his craft, a Japanese blacksmith in the forge.  Well done","i love watching peter do set design for product shots.  it feels like watching a true master at his craft, a japanese blacksmith in the forge.  well done",2022-09-14T19:17:34Z,"['love', 'watching', 'peter', 'set', 'design', 'product', 'shots', 'feels', 'like', 'watching', 'true', 'master', 'craft', 'japanese', 'blacksmith', 'forge', 'well', 'done']",love watching peter set design product shots feels like watching true master craft japanese blacksmith forge well done
309,Marquis M,"We've gotten to a point where phone cameras have become the go to point shoot camera now, especially for vlogs.  This is the perfect time for anyone who wants to dip their toes in content creation.  It's not going to be on the same level as a cinema camera or a mirrorless, but man is it a great way to learn the fundamentals and basics on!","we've gotten to a point where phone cameras have become the go to point shoot camera now, especially for vlogs.  this is the perfect time for anyone who wants to dip their toes in content creation.  it's not going to be on the same level as a cinema camera or a mirrorless, but man is it a great way to learn the fundamentals and basics on!",2022-09-14T16:14:51Z,"['gotten', 'point', 'phone', 'cameras', 'become', 'go', 'point', 'shoot', 'camera', 'especially', 'vlogs', 'perfect', 'time', 'anyone', 'wants', 'dip', 'toes', 'content', 'creation', 'going', 'level', 'cinema', 'camera', 'mirrorless', 'man', 'great', 'way', 'learn', 'fundamentals', 'basics']",gotten point phone cameras become point shoot camera especially vlogs perfect time anyone wants dip toes content creation going level cinema camera mirrorless man great way learn fundamentals basics
